VAR1,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,metro_dist_group
0,194.03369812,Private room,False,True,2,False,1,0,10,93,1,5.0229637981,2.5393800026,78.690379272,4.1667078685,98.25389587,6.8464728242,4.90569,52.41772,Kinda Far
1,344.24577602,Private room,False,True,4,False,0,0,8,85,1,0.4883892888,0.2394039228,631.17637825,33.421208615,837.28075674,58.342927743,4.90005,52.37432,Very Close
2,264.10142245,Private room,False,True,2,False,0,1,9,87,1,5.7483119152,3.6516212888,75.275876914,3.9859076999,95.386954926,6.6467002545,4.97512,52.36103,Far
3,433.52939798,Private room,False,True,4,False,0,1,9,90,2,0.3848620128,0.4398760761,493.27253443,26.119108454,875.03309758,60.973565168,4.89417,52.37663,Very Close
4,485.55292574,Private room,False,True,2,True,0,0,10,98,1,0.5447381834,0.3186926468,552.83032436,29.272733004,815.30573997,56.811676959,4.90051,52.37508,Very Close
5,552.80856748,Private room,False,True,3,False,0,0,8,100,2,2.1314200806,1.9046682414,174.78895675,9.255191399,225.20166237,15.692375837,4.87699,52.38966,Close
6,215.12431748,Private room,False,True,2,False,0,0,10,94,1,1.8810915644,0.729746739,200.16765163,10.599010156,242.76552366,16.91625096,4.9157,52.38296,Very Close
8,1001.8044197,Entire home/apt,False,False,4,False,0,0,9,96,2,3.7191413987,1.1961123529,106.22645622,5.6247614392,133.87620194,9.3286863619,4.86459,52.40175,Close
9,276.52145385,Private room,False,True,2,False,1,0,10,88,1,3.1423614256,0.9244044386,206.25286154,10.921226064,238.29125778,16.604477677,4.876,52.347,Very Close
10,909.4743749,Entire home/apt,False,False,2,False,0,0,10,96,1,1.0099220249,0.9171150679,409.85812446,21.702260022,555.11427565,38.681161382,4.87956,52.36953,Very Close
11,319.64005343,Private room,False,True,2,True,1,0,10,97,1,2.1827071045,1.5903813628,191.50133918,10.140123153,229.29740063,15.977772771,4.92496,52.37107,Close
12,675.6028402,Entire home/apt,False,False,4,False,0,0,8,87,1,2.9330458433,0.6280730467,214.92334193,11.380333762,269.62490402,18.787851227,4.88934,52.34697,Very Close
13,552.80856748,Entire home/apt,False,False,2,True,0,0,10,100,1,1.3054939316,1.3421624077,325.25595162,17.222518755,390.91205205,27.2393142,4.87417,52.37509,Close
14,209.03147189,Private room,False,True,2,False,1,0,8,96,1,7.3045352666,3.7208138856,59.776180693,3.1651884861,75.701056531,5.2749585318,4.99679,52.35645,Far
15,368.85149861,Private room,False,True,2,True,0,0,10,98,1,1.031100609,0.5578845347,359.92193215,19.058105459,439.95056203,30.656388128,4.90809,52.37455,Very Close
16,368.85149861,Private room,False,True,2,False,0,0,10,90,1,1.3277971574,0.1195281067,539.01288423,28.541090369,573.89657197,39.989938812,4.88971,52.36148,Very Close
17,337.91859021,Private room,False,True,2,True,1,0,10,97,1,1.366334238,0.5349334596,576.08282564,30.503968397,845.95761602,58.947543781,4.88368,52.36239,Very Close
18,313.54720784,Private room,False,True,2,True,1,0,10,96,1,1.2897592303,0.5521164878,528.94055571,28.007753881,1023.9047849,71.347158527,4.8839,52.3631,Very Close
19,447.58981089,Entire home/apt,False,False,2,False,1,0,9,93,1,1.0576193314,1.065339126,422.8529062,22.390342349,476.69699184,33.216932225,4.87757,52.37336,Close
20,243.2451433,Private room,False,True,2,True,1,0,10,96,1,2.8706328438,1.2788940751,169.69575451,8.9855029559,210.26769212,14.651755304,4.85206,52.36734,Close
21,933.84575727,Entire home/apt,False,False,4,False,0,0,10,96,2,1.0140664268,0.3771036873,477.79407018,25.299513488,664.05325061,46.27218589,4.89088,52.36422,Very Close
22,251.91573126,Private room,False,True,2,False,1,0,10,97,1,1.247083667,1.0987743376,267.3259896,14.155088775,366.4646498,25.535784038,4.88642,52.38367,Close
23,377.28774635,Private room,False,True,2,False,0,0,10,98,1,1.1674923014,0.9837430032,278.80059538,14.762676775,383.57789257,26.728259416,4.88799,52.38325,Very Close
24,245.58854545,Private room,False,True,2,True,1,0,10,96,1,4.2306342967,2.6871440399,92.213602204,4.8827715083,116.21714373,8.0981777788,4.89595,52.41122,Kinda Far
25,217.70205985,Private room,False,True,2,False,1,0,8,93,1,4.1808147372,2.8084379719,93.270763669,4.9387489103,117.75965599,8.2056622529,4.89375,52.41081,Kinda Far
26,295.03433084,Private room,False,True,2,False,1,0,10,95,1,3.3660185824,0.2258822993,170.02869744,9.0031325056,217.15523143,15.131688952,4.895,52.343,Very Close
27,295.03433084,Private room,False,True,2,False,0,0,10,94,1,4.1272800185,0.8393253845,129.22969948,6.8427984545,164.40500902,11.455977561,4.84631,52.34966,Very Close
28,1032.9716683,Entire home/apt,False,False,4,False,1,0,9,96,2,2.1616076139,1.4241694266,183.3652586,9.7093122805,222.38968933,15.496433509,4.92432,52.37676,Close
29,270.42860825,Private room,False,True,4,True,0,0,10,98,1,4.8854776408,1.0948368113,91.666211998,4.8537868332,114.6743433,7.9906732258,4.82174,52.37781,Close
30,524.68774166,Entire home/apt,False,False,2,False,0,1,9,89,1,1.1263269723,1.1210705458,386.36496649,20.458281697,462.8059339,32.248983323,4.87657,52.37288,Close
31,599.6766105,Entire home/apt,False,False,4,False,0,0,9,94,3,3.3635907247,0.6974224938,156.23711484,8.2728590431,198.87412114,13.857834886,4.90806,52.34442,Very Close
32,516.0171537,Entire home/apt,False,False,4,False,0,0,9,100,2,1.0711683461,0.3825354029,487.87302156,25.83320066,702.92887613,48.981095408,4.88881,52.36397,Very Close
33,602.25435287,Entire home/apt,False,False,3,False,0,0,10,100,2,3.8562901129,0.7279622388,148.72410296,7.8750400721,184.25984826,12.839491326,4.86021,52.34502,Very Close
34,504.06580273,Entire home/apt,False,False,4,False,0,0,9,94,2,4.0752478865,1.8734109912,98.636634094,5.2228753146,122.1255419,8.5098834645,4.94798,52.38786,Close
36,310.96946547,Entire home/apt,False,False,2,False,1,0,9,94,0,4.1470866857,0.0383546937,118.77888465,6.2894208653,151.37639292,10.548124847,4.92058,52.33997,Very Close
37,202.70428608,Private room,False,True,2,False,0,0,10,94,1,5.6117501555,3.9117223159,71.345009038,3.7777656339,89.084486059,6.2075351563,4.885,52.42343,Far
38,796.28805099,Entire home/apt,False,False,4,False,0,0,10,94,2,2.854991669,1.7025833728,202.84310451,10.740677163,271.38132543,18.910241198,4.8588,52.35848,Close
39,504.06580273,Private room,False,True,2,False,0,0,9,96,1,6.4116573725,4.1432269041,67.215397493,3.5590999587,83.998425527,5.853131141,4.98597,52.36376,Very Far
40,319.64005343,Private room,False,True,2,False,0,1,10,95,1,0.5403538682,0.3386577422,558.60992192,29.578766536,816.91037672,56.923490356,4.90032,52.37525,Very Close
41,614.44004406,Private room,False,True,4,False,0,1,9,96,1,0.4958282463,0.3327422133,717.44644377,37.989265907,848.40484188,59.11807,4.89969,52.37513,Very Close
42,467.04004874,Private room,False,True,3,False,0,1,10,94,1,0.5143556616,0.277211123,589.2808024,31.202810037,873.36429852,60.857280849,4.90027,52.37469,Very Close
43,716.37803764,Entire home/apt,False,False,5,True,0,0,10,96,2,3.6950054259,0.3975279376,116.72399605,6.1806131486,147.25227455,10.260750346,4.841,52.38253,Very Close
44,350.1042814,Private room,False,True,2,False,1,0,10,91,0,1.097869259,0.9569279642,293.06066986,15.517757194,426.57188621,29.724142749,4.88774,52.38254,Very Close
45,319.64005343,Private room,False,True,2,False,0,1,10,97,1,0.3846115997,0.3126380462,666.90762465,35.313201854,811.48634379,56.545535938,4.89831,52.37457,Very Close
46,467.04004874,Private room,False,True,3,False,0,1,10,96,1,0.4715465423,0.1432629486,767.09882731,40.618392607,825.05276976,57.490864018,4.90002,52.37341,Very Close
47,983.29154266,Entire home/apt,False,False,3,True,0,0,10,100,2,1.4305110577,1.3525869354,322.01876863,17.051107765,423.35272433,29.499826918,4.87317,52.36917,Close
48,298.78377428,Private room,False,True,2,True,0,0,9,94,0,4.2242085873,1.5193110445,108.74589186,5.7581672304,138.78673113,9.6708591004,4.93986,52.34829,Close
49,196.61144049,Private room,False,True,4,False,0,0,9,94,1,6.198278629,2.3712668617,65.761079935,3.4820928777,81.384267477,5.6709728471,4.96617,52.40648,Kinda Far
50,430.24863497,Entire home/apt,False,False,2,False,0,0,10,96,1,3.0194408531,0.7924066229,144.54998381,7.6540176893,182.76198382,12.735117976,4.84941,52.37788,Very Close
51,319.64005343,Private room,False,True,2,False,0,1,9,95,1,0.3633454412,0.2096397288,1238.4667774,65.577638764,755.13222114,52.618699594,4.89843,52.3734,Very Close
52,405.64291238,Private room,False,True,4,True,0,0,9,98,1,5.0364977145,1.2466108858,87.204731861,4.6175484955,109.09580987,7.6019529904,4.82115,52.38375,Close
53,334.16914677,Private room,False,True,2,True,1,0,10,97,1,1.1517641328,0.8970263745,425.34588461,22.522347212,628.012449,43.760810981,4.881,52.366,Very Close
54,491.88011155,Private room,False,True,2,False,0,1,9,98,1,0.3751350636,0.1903946026,1888.5504277,100,747.8012494,52.107866936,4.89861,52.37326,Very Close
55,319.64005343,Private room,False,True,2,False,0,1,9,95,1,0.3605068052,0.2235065665,1030.2811397,54.554070923,761.55285428,53.066098549,4.89837,52.37355,Very Close
56,780.35291636,Private room,False,True,4,False,0,1,10,100,5,1.3955789099,0.8572393306,311.01411471,16.468404028,350.85036393,24.447758135,4.91319,52.37075,Very Close
57,355.02542591,Entire home/apt,False,False,2,False,0,0,9,90,1,1.483370594,0.5362382328,334.98270962,17.737557055,370.01446226,25.783140078,4.91113,52.36575,Very Close
